navn,type,adresse,ip,data
TDCMOBILE-NAT,,,80.62.116.41,172117
TDCMOBILE-NAT,,,80.62.117.181,172057
STOFANET-16,,,212.10.240.208,171954
Telia Company AB,LIR,SWEDEN,62.44.134.9,171925
TDCMOBILE-NAT,,,80.62.116.240,171901
TDC A/S,LIR,DENMARK,93.165.143.232,171701
TDCMOBILE-NAT,,,80.62.116.211,171667
TDCMOBILE-NAT,,,80.62.116.192,171526
MBB-INFRASTRUCTURE,,,94.144.63.94,171494
TDCMOBILE-NAT,,,80.62.116.196,171168
KABELTV,,,2.104.89.105,171117
TDC-HOSTING,,,193.88.50.66,171110
TDCMOBILE-NAT,,,80.62.117.183,170825
TDCMOBILE-NAT,,,80.62.117.229,170818
TDCMOBILE-NAT,,,80.62.116.216,170782
TDCMOBILE-NAT,,,80.62.117.30,170533
DK-TELENOR-MBB,,,5.33.106.8,170303
SERVERNET21,,,109.238.53.253,169751
TDC-BREDBAANDSADSL-STATIC-NET,,,80.162.67.34,169218
TDCMOBILE-NAT,,,80.62.117.43,168923
TDCMOBILE-NAT,,,80.62.116.115,168534
Dyrup-Sanderum Antenneforening,LIR,DENMARK,93.90.1.235,168527
Syd Energi Bredbaand A/S,Other,DENMARK,212.112.150.11,168287
DK-DKTV-INFRASTRUCTURE,,,62.61.128.183,167996
KABELTV,,,80.162.53.241,167901
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,131.164.133.161,167624
TDCMOBILE-NAT,,,80.62.116.75,167562
Telia Company AB,LIR,SWEDEN,62.44.134.51,167474
TDCMOBILE-NAT,,,80.62.116.170,167438
TDCMOBILE-NAT,,,80.62.117.52,167380
FIBIA P/S,LIR,DENMARK,89.239.195.27,167191
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.22.164.141,166836
HI3G-CUSTOMER-NET,,,94.191.185.165,166821
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,2.107.154.245,166803
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.21.91.40,166802
SOLIDOHOSTING-NET,,,91.102.88.182,166797
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.58.2.162,166795
DK-REGIONH,,,128.0.73.62,166709
NEOSTRADA-ADSL,,,79.191.44.55,166692
OHUK-BTW-20090119,,,2.29.122.235,166623
KABELTV,,,80.161.138.149,166591
KABELTV,,,62.243.82.101,166584
FIBIA P/S,LIR,DENMARK,89.239.226.100,166584
KABELTV,,,80.161.146.236,166581
Fullrate A/S,OTHER,DENMARK,2.110.92.15,166573
Oresundskraft AB,OTHER,Not applicable,193.180.104.102,166572
TDCMOBILE-NAT,,,80.62.117.218,166231
STOFANET-INET-CIDR-5,,,86.52.132.191,166226
TDCMOBILE-NAT,,,80.62.116.105,165775
TDCMOBILE-NAT,,,80.62.117.198,165761
STOFANET-AARH-NET-1,,,62.107.55.151,165741
KABELTV,,,188.183.129.92,165597
Telia Company AB,LIR,SWEDEN,62.44.134.90,165507
BREDBAANDNORD-NET,,,77.68.202.251,165283
Stofa A/S,LIR,DENMARK,178.155.178.194,165091
Stofa A/S,LIR,DENMARK,178.155.178.23,165026
TDCMOBILE-NAT,,,80.62.117.234,165020
SYDFYN-USERS,,,85.27.206.78,164968
FIBIA P/S,LIR,DENMARK,5.186.112.243,164965
FIBIA P/S,LIR,DENMARK,5.186.114.99,164944
TDC A/S,LIR,DENMARK,212.130.93.57,164919
FIBIA P/S,LIR,DENMARK,89.239.214.216,164918
TDCMOBILE-NAT,,,80.62.116.222,164915
TDC A/S,LIR,DENMARK,2.104.238.250,164912
FIBIA P/S,LIR,DENMARK,5.186.112.225,164912
TDC-BREDBAANDSADSL-STATIC-NET,,,188.180.58.62,164766
TDCMOBILE-NAT,,,80.62.116.234,164715
KABELTV,,,83.92.110.39,164563
TDCMOBILE-NAT,,,80.62.117.179,164470
TDCMOBILE-NAT,,,80.62.117.109,164315
TDCMOBILE-NAT,,,80.62.116.253,164211
KABELTV,,,80.197.95.142,164017
TDCMOBILE-NAT,,,80.62.117.227,163797
TDCMOBILE-NAT,,,80.62.116.21,163759
ScanNet A/S,LIR,DENMARK,193.239.96.163,163485
HI3G-CUSTOMER-NET,,,94.191.189.66,162798
Syd Energi Bredbaand A/S,Other,DENMARK,212.112.151.3,162533
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.58.97.174,162516
HI3G-CUSTOMER-NET,,,109.59.68.32,162416
TDCMOBILE-NAT,,,80.62.116.31,162372
KABELTV,,,80.163.13.226,162254
TDCMOBILE-NAT,,,80.62.117.74,162103
Arrowhead A/S,LIR,DENMARK,91.100.148.55,161890
Telia Company AB,LIR,SWEDEN,62.44.135.156,161711
Telia Company AB,LIR,SWEDEN,62.44.134.116,161615
Telia Company AB,LIR,SWEDEN,62.44.135.3,161582
HI3G-CUSTOMER-NET,,,94.191.187.143,161520
VENZOHOSTING-PRIMARYDATACENTER,,,89.188.83.102,161459
TDCMOBILE-NAT,,,80.62.117.128,161198
Telia Company AB,LIR,SWEDEN,62.44.134.217,161065
TDCMOBILE-NAT,,,80.62.116.186,160958
IT-Lauget Parknet,LIR,DENMARK,80.71.142.252,160673
HI3G-CUSTOMER-NET,,,94.191.188.125,160326
KABELTV,,,2.104.63.157,160248
TDCMOBILE-NAT,,,80.62.117.32,160197
TDCMOBILE-NAT,,,80.62.117.151,160095
TDCMOBILE-NAT,,,80.62.116.227,160057
TDC A/S,LIR,DENMARK,176.20.234.42,159951
TDCMOBILE-NAT,,,80.62.116.26,159678
TDCMOBILE-NAT,,,80.62.117.85,159659
KABELTV,,,80.162.62.119,159576
TDCMOBILE-NAT,,,80.62.116.15,159424
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,2.105.36.91,159297
TDCMOBILE-NAT,,,80.62.117.13,159283
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.177.255.187,159248
DK-DKTV-INFRASTRUCTURE,,,62.61.128.179,159247
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.59.17.178,159234
HI3G-CUSTOMER-NET,,,94.191.188.238,159227
BREDBAANDNORD-NET,,,77.68.251.43,159215
TDC A/S,LIR,DENMARK,87.55.41.92,159215
KABELTV,,,80.161.155.92,159208
STOFANET-INET-CIDR-5,,,86.52.222.196,158844
TDCMOBILE-NAT,,,80.62.116.205,158691
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,80.164.58.174,158659
TDC A/S,LIR,DENMARK,176.22.117.57,158643
ICONVERT-LEAD-SYSTEMS-APS,,,148.251.216.242,158569
KABELTV,,,2.111.71.117,158557
Stofa A/S,LIR,DENMARK,178.155.209.249,158552
TDCMOBILE-NAT,,,80.62.117.240,158072
TDCMOBILE-NAT,,,80.62.116.133,157838
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,93.163.239.7,157427
KABELTV,,,80.197.124.94,157394
Syd Energi Bredbaand A/S,Other,DENMARK,46.32.40.44,157345
Telia Company AB,LIR,SWEDEN,62.44.135.126,157344
TDCMOBILE-NAT,,,80.62.116.16,157281
CANALDIGITAL,,,85.218.170.46,156824
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,17.64.213.65,156715
TDC-HOSTING,,,193.88.50.67,156693
DK-TELENOR-MBB,,,213.83.135.72,156632
CUSTOMER-TRE-FOR-DK,,,87.104.60.213,156613
Telia Company AB,LIR,SWEDEN,62.44.134.35,156462
TDCMOBILE-NAT,,,80.62.116.219,156459
TDCMOBILE-NAT,,,80.62.117.83,156387
ScanNet A/S,LIR,DENMARK,193.239.99.182,156343
TDCMOBILE-NAT,,,80.62.117.2,156253
TELE-DANMARK-KABEL-TV-NET,,,80.198.251.115,156186
Telenor A/S,LIR,DENMARK,83.74.126.3,156116
SkanderborgKommune-NET-1,,,37.49.141.51,155961
Syd Energi Bredbaand A/S,Other,DENMARK,212.112.150.69,155652
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.181.103.207,155581
TDCMOBILE-NAT,,,80.62.117.27,155561
TDCMOBILE-NAT,,,80.62.117.233,155245
TDCMOBILE-NAT,,,80.62.116.171,155192
TDCMOBILE-NAT,,,80.62.117.163,155070
KABELTV,,,176.21.225.167,154756
TDCMOBILE-NAT,,,80.62.117.65,154715
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,85.129.94.144,154597
KABELTV,,,87.52.40.46,154513
SEAS-NVE-INFRASTRUCTURE,,,5.103.132.42,154492
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.20.55.254,154421
COP2-CWS,,,80.254.154.105,154412
IT-Lauget Parknet,LIR,DENMARK,80.71.140.148,154283
TDCMOBILE-NAT,,,80.62.117.196,154014
HI3G-CUSTOMER-NET,,,94.191.186.3,153973
BREDBAANDNORD-NET,,,77.68.246.80,153822
CYBERCITY-DSL-USERS,,,212.242.121.107,153531
Progressive A/S,LIR,DENMARK,159.253.95.190,153460
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,93.163.79.195,153373
Aalborg Universitet,other,Denmark,130.225.198.224,153225
BOLIGNET-NET,,,79.142.224.221,153107
TDCMOBILE-NAT,,,80.62.117.244,152412
"Syddansk Universitet, IT-service",other,DK,130.226.87.174,152192
TDCMOBILE-NAT,,,80.62.117.184,152178
TDCMOBILE-NAT,,,80.62.117.48,152149
SERUMNET,,,193.3.234.5,152009
Fullrate A/S,OTHER,DENMARK,95.166.34.160,151860
TDCMOBILE-NAT,,,80.62.116.52,151712
Syd Energi Bredbaand A/S,Other,DENMARK,78.157.103.197,151690
AURA-Infrastructure,,,85.191.96.227,151689
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.56.236.58,151672
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.22.226.229,151661
HI3G-CUSTOMER-NET,,,109.57.208.36,151647
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,93.160.88.114,151646
TDC A/S,LIR,DENMARK,188.180.250.88,151641
KABELTV,,,212.130.26.138,151631
TDC-BREDBAANDSADSL-STATIC-NET,,,87.63.148.78,151626
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,193.88.111.41,151624
KABELTV,,,83.89.52.233,151620
DK-PARKNET-NAT,,,80.71.135.5,151561
TDCMOBILE-NAT,,,80.62.117.125,151527
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.177.76.195,151460
Netgroup A/S,LIR,DENMARK,83.221.156.113,151460
NO-MOBIL-BROADBAND-4,,,2.150.51.207,151459
Fullrate A/S,OTHER,DENMARK,2.110.171.55,151447
FBB_RESIDENTIAL_DHCP_DYNAMIC,,,188.114.156.220,151440
C33-ZENSYSTEMS-DK,,,188.120.84.20,151440
AS2116-CUSTOMERNET-FORSVARETOVERKOMMANDO,,,193.71.65.246,151440
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,212.130.158.63,151440
SEAS-NVE-INFRASTRUCTURE,,,5.103.201.222,151440
Stofa A/S,LIR,DENMARK,178.155.189.51,151430
TDC-BREDBAANDSADSL-STATIC-NET,,,195.249.151.6,151430
TDC-BREDBAANDSADSL-PROF-NET,,,93.160.210.114,151149
Telia Company AB,LIR,SWEDEN,62.44.134.82,151037
TDCMOBILE-NAT,,,80.62.116.74,150733
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,165.225.64.66,150377
TDCMOBILE-NAT,,,80.62.117.153,150369
Telia Company AB,LIR,SWEDEN,62.44.134.1,150225
KABELTV,,,83.89.86.240,150218
TDCMOBILE-NAT,,,80.62.117.73,150142
TDCMOBILE-NAT,,,80.62.116.195,149563
Syd Energi Bredbaand A/S,Other,DENMARK,46.32.52.143,149442
BREDBAANDNORD-NET,,,77.68.251.26,149358
STOFANET-AARH-CIDR-2,,,62.107.214.218,149235
TDCMOBILE-NAT,,,80.62.117.111,149012
TDC A/S,LIR,DENMARK,194.239.215.69,148954
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.57.52.152,148750
KABELTV,,,83.93.11.84,148655
TDCMOBILE-NAT,,,80.62.117.132,148531
TDCMOBILE-NAT,,,80.62.116.4,148391
TDCMOBILE-NAT,,,80.62.116.132,148343
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.171.125.200,148313
Telia Company AB,LIR,SWEDEN,62.44.135.134,148035
Telia Company AB,LIR,SWEDEN,62.44.134.161,147870
CUST005196,,,195.184.106.204,147857
Telia Company AB,LIR,SWEDEN,62.44.135.164,147840
Fullrate A/S,OTHER,DENMARK,90.185.174.212,147806
COWI A/S,OTHER,"Parallelvej 2, 2800 Kongens Lyngby, Denmark",195.93.192.193,147610
KMD A/S,LIR,DENMARK,131.165.40.3,147544
TDCMOBILE-NAT,,,80.62.117.126,147503
COMPUGROUP-MEDICAL-DENMARK-A-S-NET,,,62.242.32.250,147160
KABELTV,,,188.176.6.111,147126
DK-TELENOR-MBB,,,2.131.224.153,146981
TDCMOBILE-NAT,,,80.62.117.35,146819
STOFANET-AARH-NET-1,,,62.107.33.90,146813
Stofa A/S,LIR,DENMARK,212.10.21.15,146776
TDCMOBILE-NAT,,,80.62.116.167,146708
TDCMOBILE-NAT,,,80.62.117.99,146587
Fullrate A/S,OTHER,DENMARK,2.110.146.212,146540
TDCMOBILE-NAT,,,80.62.116.135,146484
DK-SONOFON-NET,,,213.83.153.183,146319
TDCMOBILE-NAT,,,80.62.117.88,146308
Ringkoebing-Skjern Kommune,other,DK,193.0.161.6,146299
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,192.40.88.11,146218
TDCMOBILE-NAT,,,80.62.117.54,146112
TDCMOBILE-NAT,,,80.62.116.173,146001
TDCMOBILE-NAT,,,80.62.116.206,145730
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,80.164.70.33,145588
TDCMOBILE-NAT,,,80.62.117.57,145541
HI3G-CUSTOMER-NET,,,109.56.174.98,145449
TDCMOBILE-NAT,,,80.62.116.122,145316
TDCMOBILE-NAT,,,80.62.117.251,145313
CUSTOMER-TRE-FOR-DK,,,87.104.124.237,145269
STOFANET-15,,,212.10.208.162,145235
Syd Energi Bredbaand A/S,Other,DENMARK,212.112.155.56,145175
Altibox Danmark AS,LIR,DENMARK,37.97.11.151,145145
FBB_RESIDENTIAL_DHCP_DYNAMIC,,,178.157.251.25,145142
Fullrate A/S,OTHER,DENMARK,2.110.229.75,145043
TDCMOBILE-NAT,,,80.62.116.246,144980
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.182,144667
WOLSELEY-EU,,,89.207.163.250,144563
Fullrate A/S,OTHER,DENMARK,2.110.193.40,144515
TDCMOBILE-NAT,,,80.62.117.225,144387
TDCMOBILE-NAT,,,80.62.116.179,144366
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.178.12.79,144340
TDCMOBILE-NAT,,,80.62.116.116,144293
TDCMOBILE-NAT,,,80.62.116.237,144258
TDC A/S,LIR,DENMARK,188.180.20.109,144106
IP2000-ADSL-BAS,,,2.13.179.247,144101
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.181.176.18,144097
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.178.62.190,144080
Fullrate A/S,OTHER,DENMARK,2.110.2.11,144079
KABELTV,,,83.89.36.93,144060
TDCMOBILE-NAT,,,80.62.116.47,143380
TDC A/S,LIR,DENMARK,2.106.157.124,143260
KABELTV,,,87.50.26.185,143240
HI3G-CUSTOMER-NET,,,109.56.14.192,143223
SUPERGROS,,,193.163.78.4,143148
TDCMOBILE-NAT,,,80.62.117.167,142846
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.180.38.13,142788
DK-TELENOR-MBB,,,213.83.134.151,142757
DK-DDB-150128,,,212.93.55.35,142746
Telia Company AB,LIR,SWEDEN,62.44.134.8,142598
DK-TELENOR-MBB,,,213.83.134.19,142407
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.57.220.73,142271
TDCMOBILE-NAT,,,80.62.117.67,142032
AURA-Infrastructure,,,85.191.20.197,141857
TDCMOBILE-NAT,,,80.62.117.10,141605
TDCMOBILE-NAT,,,80.62.117.230,141598
NNIT-Services,,,217.16.108.164,141562
CYBERCITY-DSL-USERS,,,77.215.246.243,141548
Ostervold Kollegiet,other,1350 Kobenhavn K,130.225.244.170,141535
TDCMOBILE-NAT,,,80.62.117.246,141495
Roskilde Kommune,other,"Raadhusbuen 1, DK-4000 Roskilde",91.236.123.62,141359
TDCMOBILE-NAT,,,80.62.117.131,140954
Lonberg Leth Christensen Advokataktieselskab,OTHER,1263 Kobenhavn K,194.255.42.98,140943
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.62.248.121,140900
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.20.175.40,140898
DK-TELENOR-MBB,,,213.83.135.166,140888
TDCMOBILE-NAT,,,80.62.116.5,140838
CYBERCITY-DSL-USERS,,,77.213.209.189,140753
TDCMOBILE-NAT,,,80.62.117.150,140751
TDCMOBILE-NAT,,,80.62.116.28,140542
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,165.72.200.11,140486
KABELTV,,,83.92.122.76,140483
Fiberby ApS,LIR,DENMARK,89.23.241.188,140086
Telia Company AB,LIR,SWEDEN,62.44.135.11,140062
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.21.80.172,140026
TDCMOBILE-NAT,,,80.62.117.243,139965
TDCMOBILE-NAT,,,80.62.117.98,139790
Telia Company AB,LIR,SWEDEN,62.44.134.119,139679
STOFANET-8,,,212.10.73.250,139625
HI3G-CUSTOMER-NET,,,94.191.187.90,139552
TDC-BREDBAANDSADSL-STATIC-NET,,,2.111.60.234,139538
Danmarks Tekniske Universitet,LIR,DENMARK,192.38.117.2,139486
TDCMOBILE-NAT,,,80.62.117.185,139392
TDCMOBILE-NAT,,,80.62.117.9,139385
TDCMOBILE-NAT,,,80.62.116.49,139219
TDCMOBILE-NAT,,,80.62.117.89,139191
TDCMOBILE-NAT,,,80.62.117.97,139163
TDC-BREDBAANDSADSL-STATIC-NET,,,83.89.223.154,139122
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.56.191.80,139053
Telia Company AB,LIR,SWEDEN,62.44.134.137,138904
CUST-GC-NET-1171,,,212.98.115.26,138832
TDCMOBILE-NAT,,,80.62.117.211,138769
BREDBAANDNORD-NET,,,77.68.246.66,138442
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,165.225.80.105,138387
TDCMOBILE-NAT,,,80.62.116.6,138142
TDCMOBILE-NAT,,,80.62.116.94,138032
Syd Energi Bredbaand A/S,Other,DENMARK,212.112.151.25,137981
TDCMOBILE-NAT,,,80.62.116.56,137922
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,93.166.213.67,137920
KABELTV,,,83.94.146.19,137782
DSB (SOV),OTHER,Denmark,193.28.147.14,137756
FBB_RESIDENTIAL_DHCP_DYNAMIC,,,188.114.134.234,137507
TDCMOBILE-NAT,,,80.62.117.59,137402
TDCMOBILE-NAT,,,80.62.116.123,137224
Fullrate A/S,OTHER,DENMARK,2.110.220.224,137125
CYBERCITY-DSL-USERS,,,77.213.7.66,136745
STOFANET-AARH-CIDR-2,,,62.107.187.156,136741
KABELTV,,,87.60.156.165,136690
KABELTV,,,2.111.90.234,136668
PP MainStream,Other,Nikopol,188.0.66.152,136546
KABELTV,,,188.181.94.145,136518
KABELTV,,,80.161.135.146,136485
TDC A/S,LIR,DENMARK,87.54.140.128,136484
KABELTV,,,2.104.130.151,136478
KABELTV,,,188.176.31.98,136476
KABELTV,,,80.167.168.196,136472
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.20.137.171,136470
Syd Energi Bredbaand A/S,Other,DENMARK,212.112.148.42,136470
HI3G-CUSTOMER-NET,,,109.57.139.55,136464
ZENSYSTEMS-DK,,,91.143.115.182,136419
STOFANET-INET-CIDR-5,,,86.52.172.9,136324
ComX Networks A/S,OTHER,Denmark,87.73.50.241,136317
KABELTV,,,195.215.223.139,136310
TV2 Danmark A/S,Other,5000 Odense C,91.224.210.10,136310
TDCMOBILE-NAT,,,80.62.116.154,136307
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,176.22.104.77,136296
C33-ZENSYSTEMS-DK,,,188.120.84.222,136296
KABELTV,,,83.90.159.167,136296
KABELTV,,,80.167.107.208,136232
HI3G-CUSTOMER-NET,,,94.191.187.251,136228
Social-Ministeriet-NET-1,,,5.179.94.165,136224
AURA-Infrastructure,,,85.191.62.183,136155
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.56.99.95,135883
KABELTV,,,2.108.230.227,135544
Gribskov Kommune,OTHER,Danmark,195.137.183.2,135428
TDCMOBILE-NAT,,,80.62.117.8,135414
TDCMOBILE-NAT,,,80.62.116.104,135404
Bredbandsforeningen Vestdjursnet,OTHER,Denmark,194.255.84.2,135329
KABELTV,,,80.197.88.104,135217
DK-TELENOR-MBB,,,213.83.135.138,135028
FIBIA P/S,LIR,DENMARK,5.186.115.205,135024
TDCMOBILE-NAT,,,80.62.117.157,134973
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.58.215.37,134957
TDCMOBILE-NAT,,,80.62.117.28,134748
TDCMOBILE-NAT,,,80.62.117.103,134743
MULTIHOUSE-NET,,,188.180.76.230,134697
HI3G-CUSTOMER-NET,,,94.191.188.184,134673
TDCMOBILE-NAT,,,80.62.117.136,134511
Fullrate A/S,OTHER,DENMARK,2.110.242.219,134420
Fullrate A/S,OTHER,DENMARK,2.110.233.171,134367
TDCMOBILE-NAT,,,80.62.116.102,133955
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.177.191.155,133926
KMD A/S,LIR,DENMARK,131.165.145.129,133581
DK-HJORRING-CM,,,185.126.111.246,133472
TeliaSonera Finland Oyj,LIR,FINLAND,93.106.141.0,133299
KABELTV,,,195.215.214.3,133297
DK-SONOFON-NET,,,213.83.153.176,133203
TDC A/S,LIR,DENMARK,188.182.104.94,133107
TDC-BREDBAANDSADSL-STATIC-NET,,,87.55.254.226,133044
COLLIERS-HANS-VESTERGAARD-NET,,,194.182.139.154,133012
TDC A/S,LIR,DENMARK,176.20.203.139,133011
NETCOMPANY-A-S-NET,,,62.242.39.251,132679
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.56.236.7,132601
DK-TELENOR-MBB,,,213.83.134.29,132574
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,174.126.116.52,132084
STOFANET-INET-CIDR-5,,,86.52.110.43,132042
Telia Company AB,LIR,SWEDEN,62.44.134.11,132036
TDCMOBILE-NAT,,,80.62.116.223,132013
TDCMOBILE-NAT,,,80.62.116.244,132013
"Koebenhavns Kommune, Leverancecenter IT, Infrastruktur",other,"Ottiliavej 1, 1 sal, 2500 Valby, Denmark",193.169.154.224,131712
GULDBORGSUND-KOMMUNEAMTSGAARDEN-NET,,,195.215.234.1,131628
TDCMOBILE-NAT,,,80.62.116.190,131489
CUST-GC-NET-0411,,,212.98.85.242,131330
CYBERCITY-DSL-USERS,,,212.242.213.138,131172
KABELTV,,,2.108.157.153,130759
TDCMOBILE-NAT,,,80.62.117.72,130674
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,93.164.251.139,130665
TDCMOBILE-NAT,,,80.62.116.57,130609
TDCMOBILE-NAT,,,80.62.117.5,130404
TDCMOBILE-NAT,,,80.62.116.159,130227
CUST-GC-NET-0646,,,212.98.76.201,130092
TDCMOBILE-NAT,,,80.62.116.88,129719
TDCMOBILE-NAT,,,80.62.117.237,129663
KABELTV,,,188.183.142.157,129656
Arrowhead A/S,LIR,DENMARK,91.101.8.206,129574
TDC-CUSTOMER-NET,,,62.243.27.178,129559
TDCMOBILE-NAT,,,80.62.116.200,129186
Det-Kongelige-Teater-og-Kapel-NET-1,,,5.56.148.226,129150
TDCMOBILE-NAT,,,80.62.117.49,129137
TDCMOBILE-NAT,,,80.62.117.24,129059
Telia Company AB,LIR,SWEDEN,62.44.135.128,128962
TDCMOBILE-NAT,,,80.62.116.207,128953
TDC-BREDBAANDSADSL-STATIC-NET,,,93.166.49.106,128925
KABELTV,,,188.183.151.68,128917
KABELTV,,,188.183.148.173,128912
KABELTV,,,80.167.161.237,128905
DK-ASOM-NET,,,185.125.221.44,128897
KABELTV,,,83.89.67.134,128896
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,2.109.194.204,128894
KABELTV,,,83.89.19.12,128889
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.56.101.161,128884
KABELTV,,,83.93.48.176,128883
TDC-BREDBAANDSADSL-STATIC-NET,,,87.56.219.254,128883
KABELTV,,,80.197.90.217,128877
TDCMOBILE-NAT,,,80.62.117.56,128829
FIBIA P/S,LIR,DENMARK,5.186.126.165,128778
Bredbaandsforeningen Primanet,OTHER,DK-8961 Allingåbro,89.186.181.39,128554
DK-TELENOR-MBB,,,213.83.134.187,128484
KABELTV,,,80.167.208.113,128450
Telia Company AB,LIR,SWEDEN,62.44.135.1,128153
Fullrate A/S,OTHER,DENMARK,90.184.7.51,128096
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,66.102.6.189,127956
TDCMOBILE-NAT,,,80.62.116.172,127867
KABELTV,,,83.94.239.206,127841
ComX Networks A/S,OTHER,Denmark,87.73.92.243,127707
Telia Company AB,LIR,SWEDEN,62.44.135.200,127701
CYBERCITY-DSL-USERS,,,94.145.228.24,127621
CUST-GC-NET-0125,,,77.243.35.194,127585
TDCMOBILE-NAT,,,80.62.117.188,127433
TDCMOBILE-NAT,,,80.62.116.152,127241
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,66.249.64.253,127199
SYDFYN-INFRASTRUCTURE,,,85.27.128.30,126889
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,188.181.62.24,126851
TDC-TELEDANMARK-BREDBAANDSADSL-NET,,,87.54.195.124,126705
Tech College Aalborg,LIR,DENMARK,185.26.61.240,126647
TDC-BREDBAANDSADSL-STATIC-NET,,,2.111.100.242,126384
HI3G-CUSTOMER-NET,,,109.56.195.137,126336
RSYD-NET,,,193.163.235.201,126261
CYBERCITY-DSL-USERS,,,77.213.90.206,125967
BREDBAANDNORD-NET,,,77.68.251.106,125930
TDCMOBILE-NAT,,,80.62.116.13,125850
TDCMOBILE-NAT,,,80.62.117.23,125787
Telia Company AB,LIR,SWEDEN,62.44.135.25,125703
DK-TELENOR-MBB,,,213.83.135.113,125662
ENERGIRANDERSTELE-CUSTOMER-AND-INTERNAL-ADDR,,,91.144.252.218,125662
CYBERCITY-DSL-USERS,,,94.145.68.155,125591
MBB-INFRASTRUCTURE,,,94.144.63.98,125550
Telia Company AB,LIR,SWEDEN,62.44.135.219,125488
TDC-BREDBAANDSADSL-STATIC-NET,,,176.21.41.18,125455
HI3G-CUSTOMER-NET,,,94.191.186.138,125421
KABELTV,,,2.108.163.83,125286
DK-HJORRING-CM,,,185.126.111.65,125195
TDCMOBILE-NAT,,,80.62.117.76,125035
HI3G-CUSTOMER-NET,,,109.56.81.152,125032
DK-SONOFON-NET,,,213.83.153.40,124948
ComX Networks A/S,OTHER,Denmark,87.72.83.198,124862
Telia Company AB,LIR,SWEDEN,62.44.134.157,124817
KABELTV,,,80.162.38.238,124771
TDC-BREDBAANDSADSL-STATIC-NET,,,93.165.106.214,124652
KABELTV,,,176.21.229.33,124602
CYBERCITY-DSL-USERS,,,94.145.211.198,124601
CUST-GC-NET-0744,,,212.98.78.234,124580
Telia Company AB,LIR,SWEDEN,62.44.134.112,124491
KABELTV,,,2.108.197.11,124361
TDCMOBILE-NAT,,,80.62.117.26,124217
TDCMOBILE-NAT,,,80.62.117.161,124199
KABELTV,,,83.93.28.117,124140
